label,metric,step,value,rolling_value
Tent+SAFER (0%),batch_acc,53,79.6875,81.375
Tent+SAFER (0%),batch_acc,54,75.0,81.0
Tent+SAFER (0%),batch_acc,55,78.125,80.625
Tent+SAFER (0%),batch_acc,56,79.6875,80.5625
Tent+SAFER (0%),batch_acc,57,87.5,80.4375
Tent+SAFER (0%),batch_acc,58,90.625,81.125
Tent+SAFER (0%),batch_acc,59,79.6875,80.875
Tent+SAFER (0%),batch_acc,60,78.125,80.3125
Tent+SAFER (0%),batch_acc,61,78.125,80.4375
Tent+SAFER (0%),batch_acc,62,85.9375,81.0625
Tent+SAFER (0%),batch_acc,63,85.9375,81.4375
Tent+SAFER (0%),batch_acc,64,79.6875,81.25
Tent+SAFER (0%),batch_acc,65,76.5625,81.0625
Tent+SAFER (0%),batch_acc,66,73.4375,81.125
Tent+SAFER (0%),batch_acc,67,78.125,80.875
Tent+SAFER (0%),batch_acc,68,81.25,81.0
Tent+SAFER (0%),batch_acc,69,78.125,80.6875
Tent+SAFER (0%),batch_acc,70,73.4375,80.5
Tent+SAFER (0%),batch_acc,71,84.375,80.4375
Tent+SAFER (0%),batch_acc,72,78.125,80.5
Tent+SAFER (0%),batch_acc,73,82.8125,80.4375
Tent+SAFER (0%),batch_acc,74,82.8125,80.25
Tent+SAFER (0%),batch_acc,75,89.0625,80.625
Tent+SAFER (0%),batch_acc,76,71.875,80.375
Tent+SAFER (0%),batch_acc,77,76.5625,80.1875
Tent+SAFER (0%),batch_acc,78,81.25,80.25
Tent+SAFER (0%),batch_acc,79,79.6875,80.4375
Tent+SAFER (0%),batch_acc,80,82.8125,80.625
Tent+SAFER (0%),batch_acc,81,78.125,80.5625
Tent+SAFER (0%),batch_acc,82,79.6875,80.25
Tent+SAFER (0%),batch_acc,83,78.125,79.75
Tent+SAFER (0%),batch_acc,84,82.8125,79.875
Tent+SAFER (0%),batch_acc,85,79.6875,79.9375
Tent+SAFER (0%),batch_acc,86,79.6875,80.0
Tent+SAFER (0%),batch_acc,87,76.5625,79.625
Tent+SAFER (0%),batch_acc,88,79.6875,79.375
Tent+SAFER (0%),batch_acc,89,87.5,79.6875
Tent+SAFER (0%),batch_acc,90,81.25,79.875
Tent+SAFER (0%),batch_acc,91,79.6875,80.125
Tent+SAFER (0%),batch_acc,92,85.9375,80.4375
Tent+SAFER (0%),batch_acc,93,85.9375,80.625
Tent+SAFER (0%),batch_acc,94,82.8125,80.8125
Tent+SAFER (0%),batch_acc,95,85.9375,81.3125
Tent+SAFER (100%),batch_acc,0,68.75,68.75
Tent+SAFER (100%),batch_acc,1,68.75,68.75
Tent+SAFER (100%),batch_acc,2,68.75,68.75
Tent+SAFER (100%),batch_acc,3,75.0,70.3125
Tent+SAFER (100%),batch_acc,4,71.875,70.625
Tent+SAFER (100%),batch_acc,5,73.4375,71.09375
Tent+SAFER (100%),batch_acc,6,75.0,71.65178571428571
Tent+SAFER (100%),batch_acc,7,81.25,72.8515625
Tent+SAFER (100%),batch_acc,8,71.875,72.74305555555556
Tent+SAFER (100%),batch_acc,9,65.625,72.03125
Tent+SAFER (100%),batch_acc,10,64.0625,71.30681818181819
Tent+SAFER (100%),batch_acc,11,64.0625,70.703125
Tent+SAFER (100%),batch_acc,12,70.3125,70.67307692307692
Tent+SAFER (100%),batch_acc,13,76.5625,71.09375
Tent+SAFER (100%),batch_acc,14,71.875,71.14583333333333
Tent+SAFER (100%),batch_acc,15,73.4375,71.2890625
Tent+SAFER (100%),batch_acc,16,84.375,72.05882352941177
Tent+SAFER (100%),batch_acc,17,73.4375,72.13541666666667
Tent+SAFER (100%),batch_acc,18,82.8125,72.69736842105263
Tent+SAFER (100%),batch_acc,19,81.25,73.125
Tent+SAFER (100%),batch_acc,20,70.3125,72.99107142857143
Tent+SAFER (100%),batch_acc,21,75.0,73.08238636363636
Tent+SAFER (100%),batch_acc,22,68.75,72.89402173913044
Tent+SAFER (100%),batch_acc,23,71.875,72.8515625
Tent+SAFER (100%),batch_acc,24,65.625,72.5625
Tent+SAFER (100%),batch_acc,25,73.4375,72.75
Tent+SAFER (100%),batch_acc,26,68.75,72.75
Tent+SAFER (100%),batch_acc,27,67.1875,72.6875
Tent+SAFER (100%),batch_acc,28,57.8125,72.0
Tent+SAFER (100%),batch_acc,29,81.25,72.375
Tent+SAFER (100%),batch_acc,30,81.25,72.6875
Tent+SAFER (100%),batch_acc,31,73.4375,72.625
Tent+SAFER (100%),batch_acc,32,81.25,72.625
Tent+SAFER (100%),batch_acc,33,67.1875,72.4375
Tent+SAFER (100%),batch_acc,34,76.5625,72.875
Tent+SAFER (100%),batch_acc,35,87.5,73.8125
Tent+SAFER (100%),batch_acc,36,68.75,74.0
Tent+SAFER (100%),batch_acc,37,62.5,73.6875
Tent+SAFER (100%),batch_acc,38,71.875,73.5
Tent+SAFER (100%),batch_acc,39,70.3125,73.4375
Tent+SAFER (100%),batch_acc,40,75.0,73.5
Tent+SAFER (100%),batch_acc,41,59.375,72.5
Tent+SAFER (100%),batch_acc,42,71.875,72.4375
Tent+SAFER (100%),batch_acc,43,64.0625,71.6875
Tent+SAFER (100%),batch_acc,44,71.875,71.3125
Tent+SAFER (100%),batch_acc,45,71.875,71.375
Tent+SAFER (100%),batch_acc,46,82.8125,71.6875
Tent+SAFER (100%),batch_acc,47,70.3125,71.75
Tent+SAFER (100%),batch_acc,48,78.125,72.0
Tent+SAFER (100%),batch_acc,49,84.375,72.75
Tent+SAFER (100%),batch_acc,50,78.125,72.9375
Tent+SAFER (100%),batch_acc,51,71.875,73.0625
Tent+SAFER (100%),batch_acc,52,73.4375,73.3125
Tent+SAFER (100%),batch_acc,53,70.3125,73.8125
Tent+SAFER (100%),batch_acc,54,70.3125,73.375
Tent+SAFER (100%),batch_acc,55,64.0625,72.6875
Tent+SAFER (100%),batch_acc,56,76.5625,72.8125
Tent+SAFER (100%),batch_acc,57,71.875,72.4375
Tent+SAFER (100%),batch_acc,58,81.25,73.0
Tent+SAFER (100%),batch_acc,59,71.875,72.8125
