run_id	run_name	state	s_alpha_mode	s_alpha_signal	s_alpha_conf_threshold	s_alpha_attack_value	s_alpha_clean_value	s_alpha_attack_high_conf	s_alpha_transition_width	s_alpha_sigmoid_slope	acc_0	acc_100	alpha_mean	attack_detect_rate	alpha_signal_mean	prob_disagreement_mean	feat_disagreement_mean	orig_conf_mean	orig_margin_mean	orig_entropy_mean	final_orig_weight_mean	loss_orig_weight_mean
5fc96uhj	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0	0.75	1	0.1	10	60.25	28.8	0.692307710647583	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.692307710647583	0.20000000298023224
9o8ge99k	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0	1	1	0.1	10	59.44	26.79	0.9230769872665404	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9230769872665404	0.20000000298023224
irgmwvja	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.25	0.25	1	0.1	10	61.09	48.3	0.25	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.25	0.20000000298023224
56o1jhuz	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.25	0.5	1	0.1	10	62.86	34.49	0.48076924681663513	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.48076924681663513	0.20000000298023224
3hmtv2ke	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.25	0.75	1	0.1	10	61.62	27.36	0.7115384936332703	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.7115384936332703	0.20000000298023224
477lc98k	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.25	1	1	0.1	10	60.81	25.35	0.942307710647583	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.942307710647583	0.20000000298023224
0cmxdjad	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.5	0.25	1	0.1	10	61.88	45.24	0.26923078298568726	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.26923078298568726	0.20000000298023224
lk4hzka7	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.5	0.5	1	0.1	10	63.65	31.43	0.5	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5	0.20000000298023224
rsl0imcr	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.5	0.75	1	0.1	10	62.4	24.3	0.7307692766189575	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.7307692766189575	0.20000000298023224
igaaq8fi	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.5	1	1	0.1	10	61.6	22.29	0.9615384936332704	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9615384936332704	0.20000000298023224
igm4gqr2	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.75	0.25	1	0.1	10	61.88	45.24	0.2884615361690521	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.2884615361690521	0.20000000298023224
67oxwlm7	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.75	0.5	1	0.1	10	63.65	31.43	0.5192307829856873	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.5192307829856873	0.20000000298023224
wd952aiy	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.75	0.75	1	0.1	10	62.4	24.3	0.75	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.75	0.20000000298023224
k4juuy73	SAFER	finished	fixed_conf_threshold	orig_conf	0.999	0.75	1	1	0.1	10	61.6	22.29	0.9807692766189576	0.07692307978868484	0.6764692664146423	2.4955241680145264	0.21509836614131927	0.6764692664146423	0.5780634880065918	1.3494024276733398	0.9807692766189576	0.20000000298023224
